序号,位移响应
606,2.2421369059932934e-07
607,2.3553622265050143e-07
608,2.4695341013202984e-07
609,2.58411493988279e-07
610,2.698566105327081e-07
611,2.812350510487006e-07
612,2.924935202289412e-07
613,3.0357939221237455e-07
614,3.144409629911406e-07
615,3.2502769797932166e-07
616,3.352904735604847e-07
617,3.4518181146191187e-07
618,3.546561048395054e-07
619,3.636698349991629e-07
620,3.721817777270376e-07
621,3.8015319825250315e-07
622,3.8754803392410507e-07
623,3.94333063738965e-07
624,4.0047806393079504e-07
625,4.059559488899628e-07
626,4.107428967604586e-07
627,4.148184591335479e-07
628,4.181656543349979e-07
629,4.207710438825319e-07
630,4.226247917716398e-07
631,4.237207063309809e-07
632,4.2405626447270103e-07
633,4.2363261824799903e-07
634,4.22454583703292e-07
635,4.2053061211760387e-07
636,4.1787274378618376e-07
637,4.1449654459905947e-07
638,4.1042102574568403e-07
639,4.056685469571641e-07
640,4.002647037763204e-07
641,3.9423819942174225e-07
642,3.876207018852194e-07
643,3.80446686971953e-07
644,3.7275326805947187e-07
645,3.64580013413876e-07
646,3.559687519605249e-07
647,3.469633684605576e-07
648,3.376095890940806e-07
649,3.27954758495495e-07
650,3.1804760932602873e-07
651,3.0793802550281424e-07
652,2.976768002326621e-07
653,2.8731539002203314e-07
654,2.7690566585233903e-07
655,2.6649966272156376e-07
656,2.561493287593618e-07
657,2.4590627512312306e-07
658,2.358215278768597e-07
659,2.2594528304372916e-07
660,2.163266660058418e-07
661,2.0701349640258799e-07
662,1.980520596505555e-07
663,1.8948688617466141e-07
664,1.8136053940170561e-07
665,1.73713413523601e-07
666,1.6658354198952677e-07
667,1.6000641763309425e-07
668,1.5401482528343723e-07
669,1.486386876480636e-07
670,1.439049251902642e-07
671,1.3983733065569648e-07
672,1.3645645883139948e-07
673,1.3377953204645403e-07
674,1.3182036184711867e-07
675,1.305892872010354e-07
676,1.3009312950494095e-07
677,1.303351645894309e-07
678,1.3131511183207052e-07
679,1.330291404080652e-07
680,1.3546989262497274e-07
681,1.3862652420609726e-07
682,1.4248476130587832e-07
683,1.4702697396032013e-07
684,1.522322655970906e-07
685,1.5807657815307915e-07
686,1.6453281227278764e-07
687,1.7157096198926745e-07
688,1.7915826322027698e-07
689,1.8725935534701252e-07
690,1.9583645508067448e-07
691,2.0484954176425076e-07
692,2.1425655320288793e-07
693,2.240135910669608e-07
694,2.3407513486708764e-07
695,2.443942634603966e-07
696,2.5492288301259256e-07
